"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Leche Semidescremada v3","7500000000027","Lacteos","2025-04-18","Alpura",71.28,227
"Yogurt Natural v3","7500000000028","Lacteos","2025-04-13","Nestlé",46.87,279
"Yogurt Fresa v3","7500000000029","Lacteos","2028-10-20","Sello Rojo",18.93,93
"Yogurt Vainilla v3","7500000000030","Lacteos","2028-01-09","Centrolac",29.70,223
"Queso Manchego v3","7500000000031","Lacteos","2025-02-02","Lala",9.63,390
"Queso Oaxaca v3","7500000000032","Lacteos","2028-01-08","Alpura",67.88,108
"Queso Cottage v3","7500000000033","Lacteos","2025-05-26","Nestlé",40.47,362
"Mantequilla v3","7500000000034","Lacteos","2028-08-12","Sello Rojo",53.76,432
"Crema Acida v3","7500000000035","Lacteos","2025-01-11","Centrolac",59.78,438
"Jocoque v3","7500000000036","Lacteos","2027-01-13","Lala",49.00,154
"Leche Entera v4","7500000000037","Lacteos","2025-07-22","Alpura",35.81,103
"Leche Descremada v4","7500000000038","Lacteos","2028-06-03","Nestlé",66.73,222
"Leche Semidescremada v4","7500000000039","Lacteos","2026-08-07","Sello Rojo",35.88,151
"Yogurt Natural v4","7500000000040","Lacteos","2025-03-21","Centrolac",28.17,320
"Yogurt Fresa v4","7500000000041","Lacteos","2026-12-28","Lala",49.27,243
"Yogurt Vainilla v4","7500000000042","Lacteos","2026-07-24","Alpura",33.79,205
"Queso Manchego v4","7500000000043","Lacteos","2028-11-10","Nestlé",56.25,42
"Queso Oaxaca v4","7500000000044","Lacteos","2026-07-09","Sello Rojo",22.20,174
"Queso Cottage v4","7500000000045","Lacteos","2027-02-16","Centrolac",9.49,464
"Mantequilla v4","7500000000046","Lacteos","2027-08-26","Lala",29.49,306
"Crema Acida v4","7500000000047","Lacteos","2025-09-19","Alpura",28.17,248
"Jocoque v4","7500000000048","Lacteos","2027-05-08","Nestlé",59.12,362
"Leche Entera v5","7500000000049","Lacteos","2028-05-10","Sello Rojo",78.66,291
"Leche Descremada v5","7500000000050","Lacteos","2027-08-09","Centrolac",51.76,106
"Leche Semidescremada v5","7500000000051","Lacteos","2027-07-06","Lala",56.90,457
"Yogurt Natural v5","7500000000052","Lacteos","2026-10-26","Alpura",61.51,484
"Yogurt Fresa v5","7500000000053","Lacteos","2028-11-21","Nestlé",10.10,307
"Yogurt Vainilla v5","7500000000054","Lacteos","2026-07-22","Sello Rojo",14.81,337
"Queso Manchego v5","7500000000055","Lacteos","2028-01-11","Centrolac",13.45,449
"Queso Oaxaca v5","7500000000056","Lacteos","2027-06-10","Lala",56.45,419
"Queso Cottage v5","7500000000057","Lacteos","2027-02-11","Alpura",40.69,200
"Mantequilla v5","7500000000058","Lacteos","2025-07-20","Nestlé",78.87,333
"Crema Acida v5","7500000000059","Lacteos","2028-06-28","Sello Rojo",59.32,484
"Jocoque v5","7500000000060","Lacteos","2025-10-06","Centrolac",68.54,61
"Leche Entera v6","7500000000061","Lacteos","2028-02-05","Lala",64.13,466
"Leche Descremada v6","7500000000062","Lacteos","2025-05-06","Alpura",59.43,165
"Leche Semidescremada v6","7500000000063","Lacteos","2028-05-07","Nestlé",35.74,167
"Yogurt Natural v6","7500000000064","Lacteos","2027-04-21","Sello Rojo",70.25,331
"Yogurt Fresa v6","7500000000065","Lacteos","2025-10-08","Centrolac",31.21,426
"Yogurt Vainilla v6","7500000000066","Lacteos","2025-05-12","Lala",51.03,56
"Queso Manchego v6","7500000000067","Lacteos","2026-03-21","Alpura",20.21,67
"Queso Oaxaca v6","7500000000068","Lacteos","2027-11-24","Nestlé",39.13,329
"Queso Cottage v6","7500000000069","Lacteos","2026-09-18","Sello Rojo",37.26,173
"Mantequilla v6","7500000000070","Lacteos","2026-08-08","Centrolac",77.36,262
"Crema Acida v6","7500000000071","Lacteos","2025-02-24","Lala",12.90,304
"Jocoque v6","7500000000072","Lacteos","2026-02-15","Alpura",72.54,216
"Leche Entera v7","7500000000073","Lacteos","2027-12-27","Nestlé",12.03,149
"Leche Descremada v7","7500000000074","Lacteos","2027-08-07","Sello Rojo",10.11,370
"Leche Semidescremada v7","7500000000075","Lacteos","2027-06-21","Centrolac",63.61,435
"Yogurt Natural v7","7500000000076","Lacteos","2026-02-04","Lala",59.30,421
"Yogurt Fresa v7","7500000000077","Lacteos","2027-08-13","Alpura",64.52,148
"Yogurt Vainilla v7","7500000000078","Lacteos","2027-04-11","Nestlé",65.27,81
"Queso Manchego v7","7500000000079","Lacteos","2028-08-19","Sello Rojo",20.14,116
"Queso Oaxaca v7","7500000000080","Lacteos","2025-05-09","Centrolac",34.21,459
"Queso Cottage v7","7500000000081","Lacteos","2028-06-05","Lala",60.98,271
"Mantequilla v7","7500000000082","Lacteos","2026-05-16","Alpura",19.17,44
"Crema Acida v7","7500000000083","Lacteos","2025-06-12","Nestlé",54.20,399
"Jocoque v7","7500000000084","Lacteos","2028-05-02","Sello Rojo",70.67,469
"Leche Entera v8","7500000000085","Lacteos","2025-08-19","Centrolac",65.33,487
"Leche Descremada v8","7500000000086","Lacteos","2028-03-14","Lala",47.89,495
"Leche Semidescremada v8","7500000000087","Lacteos","2026-11-10","Alpura",30.33,116
"Yogurt Natural v8","7500000000088","Lacteos","2025-03-13","Nestlé",50.25,116
"Yogurt Fresa v8","7500000000089","Lacteos","2026-09-02","Sello Rojo",23.11,488
"Yogurt Vainilla v8","7500000000090","Lacteos","2025-09-16","Centrolac",76.45,187
"Queso Manchego v8","7500000000091","Lacteos","2026-12-15","Lala",8.17,81
"Queso Oaxaca v8","7500000000092","Lacteos","2028-10-04","Alpura",78.65,41
"Queso Cottage v8","7500000000093","Lacteos","2027-01-05","Nestlé",44.71,330
"Mantequilla v8","7500000000094","Lacteos","2026-12-20","Sello Rojo",66.33,478
"Crema Acida v8","7500000000095","Lacteos","2025-07-09","Centrolac",44.94,51
"Jocoque v8","7500000000096","Lacteos","2027-10-14","Lala",75.52,497
"Leche Entera v9","7500000000097","Lacteos","2028-02-26","Alpura",51.64,402
"Leche Descremada v9","7500000000098","Lacteos","2027-08-27","Nestlé",10.42,429
"Leche Semidescremada v9","7500000000099","Lacteos","2028-12-25","Sello Rojo",55.86,73
"Yogurt Natural v9","7500000000100","Lacteos","2028-03-11","Centrolac",10.49,277
"Refresco Cola","7500000000101","Bebidas","2028-03-24","Coca-Cola",49.77,296
"Refresco Lima","7500000000102","Bebidas","2028-06-13","Pepsi",40.55,191
"Jugo Naranja","7500000000103","Bebidas","2028-07-13","Jumex",6.23,81
"Jugo Manzana","7500000000104","Bebidas","2028-12-11","Bonafont",13.03,96
"Agua Mineral","7500000000105","Bebidas","2027-09-02","Del Valle",56.88,432
"Agua Natural","7500000000106","Bebidas","2027-11-25","Coca-Cola",27.53,478
"Leche Chocolate","7500000000107","Bebidas","2027-05-04","Pepsi",19.31,216
"Te Verde","7500000000108","Bebidas","2027-11-15","Jumex",25.47,487
"Te Negro","7500000000109","Bebidas","2026-02-25","Bonafont",21.09,234
"Cafe Soluble","7500000000110","Bebidas","2025-04-20","Del Valle",23.99,168
"Cafe Molido","7500000000111","Bebidas","2026-06-25","Coca-Cola",22.76,172
"Bebida Energetica","7500000000112","Bebidas","2027-05-13","Pepsi",40.04,305
"Refresco Cola v2","7500000000113","Bebidas","2028-10-25","Jumex",39.26,180
"Refresco Lima v2","7500000000114","Bebidas","2025-05-15","Bonafont",50.73,93
"Jugo Naranja v2","7500000000115","Bebidas","2027-12-17","Del Valle",11.18,16
"Jugo Manzana v2","7500000000116","Bebidas","2027-06-07","Coca-Cola",18.20,413
"Agua Mineral v2","7500000000117","Bebidas","2028-07-25","Pepsi",5.06,42
"Agua Natural v2","7500000000118","Bebidas","2025-08-21","Jumex",51.63,145
"Leche Chocolate v2","7500000000119","Bebidas","2026-04-17","Bonafont",58.74,452
"Te Verde v2","7500000000120","Bebidas","2028-09-04","Del Valle",51.12,106
"Te Negro v2","7500000000121","Bebidas","2025-06-10","Coca-Cola",42.14,161
"Cafe Soluble v2","7500000000122","Bebidas","2025-05-14","Pepsi",55.96,301
"Cafe Molido v2","7500000000123","Bebidas","2026-08-11","Jumex",31.78,291
"Bebida Energetica v2","7500000000124","Bebidas","2027-04-14","Bonafont",40.66,117
"Refresco Cola v3","7500000000125","Bebidas","2028-09-15","Del Valle",49.25,251
"Refresco Lima v3","7500000000126","Bebidas","2025-06-14","Coca-Cola",21.84,244
"Jugo Naranja v3","7500000000127","Bebidas","2025-02-18","Pepsi",41.01,434
"Jugo Manzana v3","7500000000128","Bebidas","2025-03-01","Jumex",52.45,173
"Agua Mineral v3","7500000000129","Bebidas","2027-10-15","Bonafont",8.27,19
"Agua Natural v3","7500000000130","Bebidas","2027-01-24","Del Valle",38.92,199
"Leche Chocolate v3","7500000000131","Bebidas","2025-04-22","Coca-Cola",53.68,17
"Te Verde v3","7500000000132","Bebidas","2028-06-02","Pepsi",41.50,305
"Te Negro v3","7500000000133","Bebidas","2028-10-22","Jumex",56.17,406
"Cafe Soluble v3","7500000000134","Bebidas","2027-10-12","Bonafont",46.53,105
"Cafe Molido v3","7500000000135","Bebidas","2028-09-06","Del Valle",30.89,140
"Bebida Energetica v3","7500000000136","Bebidas","2028-12-02","Coca-Cola",27.41,87
"Refresco Cola v4","7500000000137","Bebidas","2027-11-05","Pepsi",51.24,403
"Refresco Lima v4","7500000000138","Bebidas","2025-11-19","Jumex",57.11,452
"Jugo Naranja v4","7500000000139","Bebidas","2025-03-25","Bonafont",15.15,187
"Jugo Manzana v4","7500000000140","Bebidas","2026-09-02","Del Valle",56.92,420
"Agua Mineral v4","7500000000141","Bebidas","2028-04-22","Coca-Cola",36.74,138
"Agua Natural v4","7500000000142","Bebidas","2028-02-03","Pepsi",19.70,12
"Leche Chocolate v4","7500000000143","Bebidas","2025-01-11","Jumex",21.29,447
"Te Verde v4","7500000000144","Bebidas","2025-11-09","Bonafont",14.72,232
"Te Negro v4","7500000000145","Bebidas","2028-05-05","Del Valle",47.94,177
"Cafe Soluble v4","7500000000146","Bebidas","2025-06-16","Coca-Cola",43.83,74
"Cafe Molido v4","7500000000147","Bebidas","2026-07-10","Pepsi",56.27,163
"Bebida Energetica v4","7500000000148","Bebidas","2026-08-28","Jumex",43.16,261
"Refresco Cola v5","7500000000149","Bebidas","2026-08-17","Bonafont",30.58,319
"Refresco Lima v5","7500000000150","Bebidas","2026-09-24","Del Valle",48.18,85
"Jugo Naranja v5","7500000000151","Bebidas","2026-04-04","Coca-Cola",29.14,86
"Jugo Manzana v5","7500000000152","Bebidas","2026-02-20","Pepsi",53.86,365
"Agua Mineral v5","7500000000153","Bebidas","2026-03-05","Jumex",57.63,160
"Agua Natural v5","7500000000154","Bebidas","2028-11-07","Bonafont",47.07,364
"Leche Chocolate v5","7500000000155","Bebidas","2026-12-14","Del Valle",32.78,337
"Te Verde v5","7500000000156","Bebidas","2026-06-05","Coca-Cola",19.97,378
"Te Negro v5","7500000000157","Bebidas","2028-03-03","Pepsi",22.52,411
"Cafe Soluble v5","7500000000158","Bebidas","2026-09-07","Jumex",17.09,177
"Cafe Molido v5","7500000000159","Bebidas","2028-12-09","Bonafont",25.36,353
"Bebida Energetica v5","7500000000160","Bebidas","2025-07-24","Del Valle",37.80,446
"Refresco Cola v6","7500000000161","Bebidas","2026-11-01","Coca-Cola",8.28,52
"Refresco Lima v6","7500000000162","Bebidas","2025-04-05","Pepsi",7.69,103
"Jugo Naranja v6","7500000000163","Bebidas","2026-11-26","Jumex",13.16,82
"Jugo Manzana v6","7500000000164","Bebidas","2028-12-21","Bonafont",43.03,484
"Agua Mineral v6","7500000000165","Bebidas","2028-01-12","Del Valle",38.22,144
"Agua Natural v6","7500000000166","Bebidas","2025-10-13","Coca-Cola",57.50,348
"Leche Chocolate v6","7500000000167","Bebidas","2028-05-21","Pepsi",27.78,393
"Te Verde v6","7500000000168","Bebidas","2027-12-09","Jumex",52.60,171
"Te Negro v6","7500000000169","Bebidas","2028-01-22","Bonafont",17.66,300
"Cafe Soluble v6","7500000000170","Bebidas","2027-09-13","Del Valle",15.73,104
"Cafe Molido v6","7500000000171","Bebidas","2026-07-08","Coca-Cola",9.71,479
"Bebida Energetica v6","7500000000172","Bebidas","2028-05-12","Pepsi",41.44,90
"Refresco Cola v7","7500000000173","Bebidas","2025-04-16","Jumex",40.95,120
"Refresco Lima v7","7500000000174","Bebidas","2025-08-02","Bonafont",10.38,154
"Jugo Naranja v7","7500000000175","Bebidas","2027-10-19","Del Valle",22.67,246
"Jugo Manzana v7","7500000000176","Bebidas","2028-02-28","Coca-Cola",41.23,29
"Agua Mineral v7","7500000000177","Bebidas","2026-08-09","Pepsi",6.89,144
"Agua Natural v7","7500000000178","Bebidas","2026-05-18","Jumex",51.27,24
"Leche Chocolate v7","7500000000179","Bebidas","2026-10-08","Bonafont",16.66,416
"Te Verde v7","7500000000180","Bebidas","2027-06-11","Del Valle",39.51,238
"Te Negro v7","7500000000181","Bebidas","2025-01-09","Coca-Cola",41.69,345
"Cafe Soluble v7","7500000000182","Bebidas","2027-02-18","Pepsi",55.67,211
"Cafe Molido v7","7500000000183","Bebidas","2025-10-19","Jumex",13.63,340
"Bebida Energetica v7","7500000000184","Bebidas","2025-07-21","Bonafont",25.92,417
"Refresco Cola v8","7500000000185","Bebidas","2028-06-22","Del Valle",35.55,261
"Refresco Lima v8","7500000000186","Bebidas","2026-10-14","Coca-Cola",34.70,305
"Jugo Naranja v8","7500000000187","Bebidas","2025-03-25","Pepsi",54.79,242
"Jugo Manzana v8","7500000000188","Bebidas","2025-05-07","Jumex",16.16,331
"Agua Mineral v8","7500000000189","Bebidas","2025-06-15","Bonafont",35.13,334
"Agua Natural v8","7500000000190","Bebidas","2028-06-02","Del Valle",25.71,294
"Leche Chocolate v8","7500000000191","Bebidas","2026-08-07","Coca-Cola",11.68,451
"Te Verde v8","7500000000192","Bebidas","2025-03-04","Pepsi",12.97,134
"Te Negro v8","7500000000193","Bebidas","2026-11-18","Jumex",7.11,467
"Cafe Soluble v8","7500000000194","Bebidas","2026-01-02","Bonafont",19.22,156
"Cafe Molido v8","7500000000195","Bebidas","2027-07-23","Del Valle",35.40,317
"Bebida Energetica v8","7500000000196","Bebidas","2027-10-13","Coca-Cola",13.79,218
"Refresco Cola v9","7500000000197","Bebidas","2025-02-21","Pepsi",58.33,372
"Refresco Lima v9","7500000000198","Bebidas","2028-11-13","Jumex",7.92,100
"Jugo Naranja v9","7500000000199","Bebidas","2026-01-15","Bonafont",23.30,39
"Jugo Manzana v9","7500000000200","Bebidas","2025-04-21","Del Valle",5.23,173
"Arroz Largo","7500000000201","Granos","2025-03-22","La Merced",25.90,13
"Arroz Integral","7500000000202","Granos","2027-05-20","Maseca",27.77,49
"Frijol Negro","7500000000203","Granos","2027-06-11","Bachoco",43.09,417
"Frijol Pinto","7500000000204","Granos","2025-03-18","El Guapo",38.77,17
"Lenteja","7500000000205","Granos","2025-12-26","Aroz Gold",26.46,99
"Garbanzo","7500000000206","Granos","2027-10-03","La Merced",27.78,67
"Harina Trigo","7500000000207","Granos","2025-02-19","Maseca",35.00,216
"Harina Maiz","7500000000208","Granos","2028-05-19","Bachoco",48.81,169
"Avena","7500000000209","Granos","2025-01-26","El Guapo",11.10,272
"Pasta Espagueti","7500000000210","Granos","2028-07-22","Aroz Gold",31.65,413
"Pasta Caracol","7500000000211","Granos","2028-08-12","La Merced",12.95,152
"Cereal Maiz","7500000000212","Granos","2028-07-11","Maseca",24.00,36
"Arroz Largo v2","7500000000213","Granos","2025-08-20","Bachoco",41.14,311
"Arroz Integral v2","7500000000214","Granos","2026-04-17","El Guapo",42.72,26
"Frijol Negro v2","7500000000215","Granos","2025-12-07","Aroz Gold",15.88,357
"Frijol Pinto v2","7500000000216","Granos","2028-07-14","La Merced",14.16,498
"Lenteja v2","7500000000217","Granos","2028-02-16","Maseca",16.79,428
"Garbanzo v2","7500000000218","Granos","2028-04-01","Bachoco",30.71,40
"Harina Trigo v2","7500000000219","Granos","2028-12-27","El Guapo",15.32,347
"Harina Maiz v2","7500000000220","Granos","2027-06-18","Aroz Gold",11.96,446
"Avena v2","7500000000221","Granos","2026-01-08","La Merced",16.68,151
"Pasta Espagueti v2","7500000000222","Granos","2026-05-01","Maseca",22.21,324
"Pasta Caracol v2","7500000000223","Granos","2026-06-22","Bachoco",25.39,376
"Cereal Maiz v2","7500000000224","Granos","2025-08-27","El Guapo",48.01,389
"Arroz Largo v3","7500000000225","Granos","2028-02-27","Aroz Gold",39.69,320
"Arroz Integral v3","7500000000226","Granos","2027-07-02","La Merced",15.53,69
"Frijol Negro v3","7500000000227","Granos","2027-12-14","Maseca",43.97,416
"Frijol Pinto v3","7500000000228","Granos","2027-11-19","Bachoco",49.74,167
"Lenteja v3","7500000000229","Granos","2026-07-10","El Guapo",13.73,263
"Garbanzo v3","7500000000230","Granos","2028-11-27","Aroz Gold",28.50,471
"Harina Trigo v3","7500000000231","Granos","2025-11-15","La Merced",32.66,170
"Harina Maiz v3","7500000000232","Granos","2025-04-03","Maseca",22.97,371
"Avena v3","7500000000233","Granos","2025-05-10","Bachoco",16.39,137
"Pasta Espagueti v3","7500000000234","Granos","2028-09-19","El Guapo",20.35,156
"Pasta Caracol v3","7500000000235","Granos","2026-08-02","Aroz Gold",31.01,355
"Cereal Maiz v3","7500000000236","Granos","2026-03-28","La Merced",41.08,414
"Arroz Largo v4","7500000000237","Granos","2027-01-13","Maseca",38.99,351
"Arroz Integral v4","7500000000238","Granos","2027-08-27","Bachoco",19.40,37
"Frijol Negro v4","7500000000239","Granos","2028-07-20","El Guapo",19.34,297
"Frijol Pinto v4","7500000000240","Granos","2025-08-05","Aroz Gold",20.47,266
"Lenteja v4","7500000000241","Granos","2025-11-01","La Merced",46.82,144
"Garbanzo v4","7500000000242","Granos","2025-04-28","Maseca",39.07,13
"Harina Trigo v4","7500000000243","Granos","2028-08-25","Bachoco",32.66,397
"Harina Maiz v4","7500000000244","Granos","2026-05-07","El Guapo",22.99,171
"Avena v4","7500000000245","Granos","2026-11-01","Aroz Gold",32.31,12
"Pasta Espagueti v4","7500000000246","Granos","2028-12-18","La Merced",45.64,337
"Pasta Caracol v4","7500000000247","Granos","2026-09-12","Maseca",16.72,211
"Cereal Maiz v4","7500000000248","Granos","2026-05-07","Bachoco",12.83,304
"Arroz Largo v5","7500000000249","Granos","2027-10-16","El Guapo",32.58,410
"Arroz Integral v5","7500000000250","Granos","2025-09-08","Aroz Gold",30.10,481
"Frijol Negro v5","7500000000251","Granos","2028-10-27","La Merced",39.88,496
"Frijol Pinto v5","7500000000252","Granos","2026-06-06","Maseca",30.45,238
"Lenteja v5","7500000000253","Granos","2027-04-21","Bachoco",23.30,239
"Garbanzo v5","7500000000254","Granos","2027-02-25","El Guapo",23.54,467
"Harina Trigo v5","7500000000255","Granos","2027-02-14","Aroz Gold",15.20,63
"Harina Maiz v5","7500000000256","Granos","2025-06-03","La Merced",45.79,267
"Avena v5","7500000000257","Granos","2025-04-18","Maseca",42.67,35
"Pasta Espagueti v5","7500000000258","Granos","2028-03-22","Bachoco",25.16,240
"Pasta Caracol v5","7500000000259","Granos","2026-07-24","El Guapo",46.61,128
"Cereal Maiz v5","7500000000260","Granos","2025-04-06","Aroz Gold",16.94,446
"Arroz Largo v6","7500000000261","Granos","2026-02-21","La Merced",46.85,79
"Arroz Integral v6","7500000000262","Granos","2025-03-18","Maseca",34.93,62
"Frijol Negro v6","7500000000263","Granos","2028-02-08","Bachoco",24.44,212
"Frijol Pinto v6","7500000000264","Granos","2026-04-26","El Guapo",31.05,489
"Lenteja v6","7500000000265","Granos","2025-01-27","Aroz Gold",35.50,296
"Garbanzo v6","7500000000266","Granos","2028-10-22","La Merced",49.94,175
"Harina Trigo v6","7500000000267","Granos","2028-04-17","Maseca",25.88,201
"Harina Maiz v6","7500000000268","Granos","2025-07-05","Bachoco",33.21,115
"Avena v6","7500000000269","Granos","2027-12-18","El Guapo",42.75,57
"Pasta Espagueti v6","7500000000270","Granos","2026-01-20","Aroz Gold",11.99,339
"Pasta Caracol v6","7500000000271","Granos","2027-02-05","La Merced",15.30,399
"Cereal Maiz v6","7500000000272","Granos","2025-11-26","Maseca",25.27,77
"Arroz Largo v7","7500000000273","Granos","2028-07-03","Bachoco",18.30,57
"Arroz Integral v7","7500000000274","Granos","2028-06-23","El Guapo",12.20,344
"Frijol Negro v7","7500000000275","Granos","2026-08-10","Aroz Gold",25.97,471
"Frijol Pinto v7","7500000000276","Granos","2028-08-21","La Merced",40.16,50
"Lenteja v7","7500000000277","Granos","2025-11-24","Maseca",43.20,86
"Garbanzo v7","7500000000278","Granos","2027-09-08","Bachoco",34.89,444
"Harina Trigo v7","7500000000279","Granos","2025-09-18","El Guapo",26.38,60
"Harina Maiz v7","7500000000280","Granos","2025-09-28","Aroz Gold",45.26,429
"Avena v7","7500000000281","Granos","2028-05-26","La Merced",24.14,215
"Pasta Espagueti v7","7500000000282","Granos","2026-07-24","Maseca",34.66,279
"Pasta Caracol v7","7500000000283","Granos","2028-11-02","Bachoco",45.89,71
"Cereal Maiz v7","7500000000284","Granos","2025-06-09","El Guapo",45.48,342
"Arroz Largo v8","7500000000285","Granos","2027-05-18","Aroz Gold",20.81,143
"Arroz Integral v8","7500000000286","Granos","2028-07-24","La Merced",17.37,181
"Frijol Negro v8","7500000000287","Granos","2026-02-17","Maseca",42.97,458
"Frijol Pinto v8","7500000000288","Granos","2026-05-02","Bachoco",49.17,421
"Lenteja v8","7500000000289","Granos","2026-05-28","El Guapo",19.97,298
"Garbanzo v8","7500000000290","Granos","2025-11-24","Aroz Gold",47.65,498
"Harina Trigo v8","7500000000291","Granos","2025-12-09","La Merced",46.04,63
"Harina Maiz v8","7500000000292","Granos","2028-12-19","Maseca",40.05,35
"Avena v8","7500000000293","Granos","2027-06-27","Bachoco",24.43,118
"Pasta Espagueti v8","7500000000294","Granos","2025-07-28","El Guapo",15.40,118
"Pasta Caracol v8","7500000000295","Granos","2025-04-28","Aroz Gold",40.82,180
"Cereal Maiz v8","7500000000296","Granos","2028-09-12","La Merced",39.93,412
"Arroz Largo v9","7500000000297","Granos","2027-11-12","Maseca",10.24,48
"Arroz Integral v9","7500000000298","Granos","2026-12-10","Bachoco",35.24,424
"Frijol Negro v9","7500000000299","Granos","2027-08-15","El Guapo",44.33,500
"Frijol Pinto v9","7500000000300","Granos","2027-09-09","Aroz Gold",20.41,126
"Manzana Roja","7500000000301","Frutas","2028-08-12","Del Monte",13.90,351
"Manzana Verde","7500000000302","Frutas","2028-10-14","Dole",35.60,112
"Platano","7500000000303","Frutas","2025-12-02","Fresh",22.57,216
"Naranja","7500000000304","Frutas","2026-04-14","Campo Bello",26.89,265
"Mandarina","7500000000305","Frutas","2026-09-28","La Huerta",16.91,87
"Uva Verde","7500000000306","Frutas","2028-12-28","Del Monte",6.94,354
"Uva Morada","7500000000307","Frutas","2026-07-12","Dole",25.66,357
"Mango Ataulfo","7500000000308","Frutas","2028-09-20","Fresh",21.46,326
"Papaya","7500000000309","Frutas","2028-06-11","Campo Bello",32.25,17
"Melon","7500000000310","Frutas","2025-02-07","La Huerta",37.10,181
"Sandia","7500000000311","Frutas","2026-10-19","Del Monte",19.07,485
"Fresa","7500000000312","Frutas","2025-12-20","Dole",40.00,481
"Manzana Roja v2","7500000000313","Frutas","2028-04-18","Fresh",11.40,76
"Manzana Verde v2","7500000000314","Frutas","2028-11-24","Campo Bello",14.32,120
"Platano v2","7500000000315","Frutas","2026-05-22","La Huerta",20.21,479
"Naranja v2","7500000000316","Frutas","2026-07-26","Del Monte",20.73,118
"Mandarina v2","7500000000317","Frutas","2027-12-17","Dole",8.75,248
"Uva Verde v2","7500000000318","Frutas","2025-06-01","Fresh",32.98,343
"Uva Morada v2","7500000000319","Frutas","2027-11-27","Campo Bello",37.74,353
"Mango Ataulfo v2","7500000000320","Frutas","2026-01-06","La Huerta",6.24,291
"Papaya v2","7500000000321","Frutas","2027-08-24","Del Monte",30.79,86
"Melon v2","7500000000322","Frutas","2026-11-16","Dole",10.82,95
"Sandia v2","7500000000323","Frutas","2026-03-17","Fresh",12.77,174
"Fresa v2","7500000000324","Frutas","2025-05-16","Campo Bello",5.58,424
"Manzana Roja v3","7500000000325","Frutas","2028-09-11","La Huerta",11.45,272
"Manzana Verde v3","7500000000326","Frutas","2026-12-24","Del Monte",11.55,32
"Platano v3","7500000000327","Frutas","2027-12-05","Dole",18.46,398
"Naranja v3","7500000000328","Frutas","2027-02-01","Fresh",17.01,157
"Mandarina v3","7500000000329","Frutas","2028-08-03","Campo Bello",35.67,289
"Uva Verde v3","7500000000330","Frutas","2025-03-18","La Huerta",34.15,90
"Uva Morada v3","7500000000331","Frutas","2025-04-06","Del Monte",23.22,68
"Mango Ataulfo v3","7500000000332","Frutas","2027-01-16","Dole",30.00,163
"Papaya v3","7500000000333","Frutas","2025-02-14","Fresh",20.84,299
"Melon v3","7500000000334","Frutas","2028-11-28","Campo Bello",38.36,427
"Sandia v3","7500000000335","Frutas","2027-10-03","La Huerta",12.66,53
"Fresa v3","7500000000336","Frutas","2025-12-01","Del Monte",37.85,416
"Manzana Roja v4","7500000000337","Frutas","2026-02-22","Dole",24.33,175
"Manzana Verde v4","7500000000338","Frutas","2027-09-10","Fresh",31.87,448
"Platano v4","7500000000339","Frutas","2025-07-28","Campo Bello",36.08,378
"Naranja v4","7500000000340","Frutas","2026-04-24","La Huerta",27.39,443
